Invoice ID,City,Customer type,Gender,Product line id,Unit price,Quantity,Tax 5% (Rs),Date,Time,Payment,Rating
750-67-8428,Davanagere,Member,Female,101,74.69,7,26.1415,01-05-2023,13:08,Ewallet,9.1
226-31-3081,Amravati,Normal,Female,102,15.28,5,3.82,03-08-2023,10:29,Cash,9.6
631-41-3108,Bhopal,Normal,Male,103,46.33,7,16.2155,03-03-2023,13:23,Credit card,7.4
123-19-1176,Vasai-Virar,Member,Male,101,58.22,8,23.288,1/27/2023,20:33,Ewallet,8.4
373-73-7910,Mangaluru,Normal,Male,104,86.31,7,30.2085,02-08-2023,10:37,Ewallet,5.3
699-14-3026,Akola,Normal,Male,102,85.39,7,29.8865,3/25/2023,18:30,Ewallet,4.1
355-53-5943,Ahmednagar,Member,Female,102,68.84,6,20.652,2/25/2023,14:36,Ewallet,5.8
315-22-5665,Kalyan-Dombivali,Normal,Female,103,73.56,10,36.78,2/24/2023,11:38,Ewallet,8
665-32-9167,Jaipur,Member,Female,101,36.26,2,3.626,01-10-2023,17:15,Credit card,7.2
692-92-5582,Bhiwandi,Member,Female,105,54.84,3,8.226,2/20/2023,13:27,Credit card,5.9
351-62-0822,Kalyan-Dombivali,Member,Female,106,14.48,4,2.896,02-06-2023,18:07,Ewallet,4.5
529-56-3974,Delhi,Member,Male,102,25.51,4,5.102,03-09-2023,17:03,Cash,6.8
365-64-0515,Amritsar,Normal,Female,102,46.95,5,11.7375,02-12-2023,10:25,Ewallet,7.1
252-56-2699,Ajmer,Normal,Male,105,43.19,10,21.595,02-07-2023,16:48,Ewallet,8.2
829-34-3910,Nanded-Waghala,Normal,Female,101,71.38,10,35.69,3/29/2023,19:21,Cash,5.7
299-46-1805,Amritsar,Member,Female,104,93.72,6,28.116,1/15/2023,16:19,Cash,4.5
656-95-9349,Bengaluru,Member,Female,101,68.93,7,24.1255,03-11-2023,11:03,Credit card,4.6
765-26-6951,Indore,Normal,Male,104,72.61,6,21.783,01-01-2023,10:39,Credit card,6.9
329-62-1586,Jodhpur,Normal,Male,105,54.67,3,8.2005,1/21/2023,18:00,Credit card,8.6
319-50-3348,Nashik,Normal,Female,103,40.3,2,4.03,03-11-2023,15:30,Ewallet,4.4
300-71-4605,Jabalpur,Member,Male,102,86.04,5,21.51,2/25/2023,11:24,Ewallet,4.8
371-85-5789,Bikaner,Normal,Male,101,87.98,3,13.197,03-05-2023,10:40,Ewallet,5.1
273-16-6619,Jaipur,Normal,Male,103,33.2,2,3.32,3/15/2023,12:20,Credit card,4.4
636-48-8204,Nanded-Waghala,Normal,Male,102,34.56,5,8.64,2/17/2023,11:15,Ewallet,9.9
549-59-1358,Delhi,Member,Male,104,88.63,3,13.2945,03-02-2023,17:36,Ewallet,6
227-03-5010,Ahmednagar,Member,Female,103,52.59,8,21.036,3/22/2023,19:20,Credit card,8.5
649-29-6775,Bhopal,Normal,Male,106,33.52,1,1.676,02-08-2023,15:31,Cash,6.7
189-17-4241,Ludhiana,Normal,Female,106,87.67,2,8.767,03-10-2023,12:17,Credit card,7.7
